year,phase,gross_emissions_gtco2,planned_incremental_cdr_gtco2,feasible_incremental_cdr_gtco2,incremental_cdr_gtco2,net_anthropogenic_gtco2,natural_reservoir_flux_to_sinks_gtc,co2_ppm,land_binding,food_land_deficit_mha,cdr_land_mha,reservoir_permanent_gtc,reservoir_slow_gtc,reservoir_medium_gtc,reservoir_fast_gtc
2026,drawdown,42.2,0.0,0.0,0.0,42.2,5.911485937738476,431.1838326549736,False,0.0,0.0,104.28801579481066,104.7256082727882,102.25954477285626,13.936107886053987
2027,drawdown,41.328315460090884,0.8941176470588235,0.8941176470588236,0.8941176470588236,40.434197813032064,5.915115890333542,433.4167646590838,False,0.0,21.42156862745098,106.68603740637504,106.92924100852929,102.57300907846837,13.761503877862218
2028,drawdown,39.940148469724576,1.788235294117647,1.7882352941176471,1.7882352941176471,38.15191317560693,5.892958675155029,435.376831088186,False,0.0,42.84313725490196,108.94870409116199,108.9879419737788,102.70449633241861,13.469870002859535
2029,drawdown,37.979914217559205,2.682352941176471,2.682352941176471,2.682352941176471,35.29756127638274,5.841258546584918,437.0069362934572,False,0.0,64.26470588235296,111.04208838847585,110.86714894230424,102.6154267973919,13.04706162283771
2030,drawdown,35.419171111179274,3.576470588235294,3.5764705882352943,3.5764705882352943,31.84270052294398,5.7559539402968944,438.24836726714136,False,0.0,85.68627450980392,112.9305760586821,112.53065062492958,102.26609991931998,12.479957105209554
2031,drawdown,32.51969680558596,4.470588235294118,4.470588235294118,4.470588235294118,28.049108570291843,5.633160952963058,439.0767351701545,False,0.0,107.1078431372549,114.59407804894532,113.95831102786705,101.63778901512225,11.775730674303384
2032,drawdown,29.296982500786772,5.364705882352942,5.364705882352942,5.364705882352942,23.932276618433832,5.473810441862085,439.469135638733,False,0.0,128.5294117647059,116.01342403944359,115.13099100779898,100.7134506963811,10.94110921740657
2033,drawdown,25.987790292639133,6.258823529411764,6.258823529411765,6.258823529411765,19.72896676322737,5.278788486942151,439.4316364582246,False,0.0,149.95098039215685,117.18348530517757,116.04405608734272,99.4945019368007,9.997320871489823
2034,drawdown,22.746153876516782,7.152941176470588,7.152941176470589,7.152941176470589,15.593212700046195,5.052522729261184,438.9873402152057,False,0.0,171.37254901960785,118.10826836186972,116.70228850136982,97.99403214047948,8.971534273162634
2035,drawdown,19.822068748208853,8.047058823529412,8.047058823529412,8.047058823529412,11.775009924679441,4.801011380916727,438.18755634523404,False,0.0,192.7941176470588,118.80660615025205,117.12572257875411,96.24378369596887,7.902069695956796
