pathway,cdr_gtco2_yr,marginal_cost_usd_t,cost_without_scarcity_usd_t,learning_factor,scarcity_multiplier,resource_utilization_fraction,annual_spend_usd_tn,cumulative_before_gt,year
DACCS,0.0,600.0,600.0,1.0,1.0,0.0,0.0,0.05,2026
Enhanced silicate weathering,0.0,200.0,200.0,1.0,1.0,0.0,0.0,0.02,2026
Ocean alkalinity / carbonate weathering,0.0,250.0,250.0,1.0,1.0,0.0,0.0,0.01,2026
Biochar,0.0,160.0,160.0,1.0,1.0,0.0,0.0,1.0,2026
BiCRS / BECCS / durable biomass storage,0.0,160.0,160.0,1.0,1.0,0.0,0.0,0.1,2026
Biological restoration,0.0,60.0,60.0,1.0,1.0,0.0,0.0,10.0,2026
Direct/passive mineral carbonation,0.0,200.0,200.0,1.0,1.0,0.0,0.0,0.02,2026
DACCS,0.27941176470588236,600.0,600.0,1.0,1.0,0.0,0.16764705882352943,0.05,2027
Enhanced silicate weathering,0.11176470588235293,201.5348434836872,200.0,1.0,1.021926335481246,0.04705557204662762,0.022524482507000333,0.02,2027
Ocean alkalinity / carbonate weathering,0.055882352941176466,250.0,250.0,1.0,1.0,0.0,0.013970588235294117,0.01,2027
Biochar,0.08382352941176471,161.5502344886197,160.0,1.0,1.0193779311077464,0.02909536669284625,0.0135417108321343,1.0,2027
BiCRS / BECCS / durable biomass storage,0.16764705882352943,164.9955431054651,160.0,1.0,1.0624442888183137,0.07758764451425666,0.027661017520622094,0.1,2027
Biological restoration,0.08382352941176471,89.92952175323066,60.0,1.0,1.6235317031923056,0.38405884034557036,0.007538209911667865,10.0,2027
Direct/passive mineral carbonation,0.11176470588235293,200.0,200.0,1.0,1.0,0.0,0.022352941176470586,0.02,2027
DACCS,0.5588235294117647,514.0199928015836,514.0199928015836,0.8208749850032991,1.0,0.0,0.28724646656559083,0.32941176470588235,2028
Enhanced silicate weathering,0.22352941176470587,197.65335721438925,194.434518097829,0.9204931156832714,1.0459834159508608,0.09507714275028763,0.044181338671451714,0.13176470588235292,2028
Ocean alkalinity / carbonate weathering,0.11176470588235293,233.7227987341166,233.7227987341166,0.8697823898729328,1.0,0.0,0.026121959858518912,0.06588235294117646,2028
Biochar,0.16764705882352943,161.38334490263372,159.83051318613363,0.9964690247111175,1.019410396456251,0.02914293640286476,0.027055443116029775,1.0838235294117646,2028
BiCRS / BECCS / durable biomass storage,0.33529411764705885,161.8497236662078,156.84541289863415,0.9436680874756095,1.0625538845946711,0.07771449707430601,0.054267260288081445,0.26764705882352946,2028
Biological restoration,0.16764705882352943,90.00832178536155,59.99927384029502,0.9998789733825035,1.6251884988555527,0.3846867605178147,0.015089630416957671,10.083823529411765,2028
Direct/passive mineral carbonation,0.22352941176470587,191.5928504589426,191.5928504589426,0.8949106307367825,1.0,0.0,0.04282663716141069,0.13176470588235292,2028
DACCS,0.8382352941176471,475.1532457298597,475.1532457298597,0.7399025952705411,1.0,0.0,0.39829022068532355,0.888235294117647,2029
Enhanced silicate weathering,0.33529411764705885,196.7615152803066,191.6862369197439,0.8812319559963413,1.0725039765794675,0.144053019571254,0.0659729786528087,0.35529411764705876,2029
Ocean alkalinity / carbonate weathering,0.16764705882352943,226.0280552012302,226.0280552012302,0.8082244416098414,1.0,0.0,0.037892938666088595,0.17764705882352938,2029
Biochar,0.25147058823529417,161.0843694512738,159.52917193838627,0.9901910820497141,1.0194399689110942,0.029186263966289233,0.040507981141423274,1.2514705882352941,2029
BiCRS / BECCS / durable biomass storage,0.5029411764705883,159.3895832565177,154.37728486814459,0.8995943726454388,1.0626537298546639,0.07783003724343793,0.0801635845201898,0.6029411764705883,2029
Biological restoration,0.25147058823529417,90.07946328283384,59.99783971465258,0.9996399524420966,1.6267004910037761,0.38525868435501776,0.022652335619653807,10.251470588235295,2029
Direct/passive mineral carbonation,0.33529411764705885,187.5303351974688,187.5303351974688,0.8441291899683598,1.0,0.0,0.06287781827209249,0.35529411764705876,2029
DACCS,1.1176470588235294,451.28125469877295,451.28125469877295,0.6901692806224436,1.0,0.0,0.5043731670162757,1.7264705882352942,2030
Enhanced silicate weathering,0.44705882352941173,197.04379704312544,189.91076404812196,0.8558680578303136,1.1019004713571927,0.19397169791498414,0.08809016808986783,0.6905882352941176,2030
Ocean alkalinity / carbonate weathering,0.22352941176470587,221.17963383203238,221.17963383203238,0.7694370706562589,1.0,0.0,0.04944015344480724,0.3452941176470588,2030
Biochar,0.33529411764705885,160.70561536368496,159.14827568932395,0.9822557435275827,1.0194667459295124,0.029225493092791457,0.05388364750429437,1.5029411764705882,2030
BiCRS / BECCS / durable biomass storage,0.6705882352941177,157.62892047878685,152.60938852305645,0.8680247950545794,1.06274414944663,0.07793464824744388,0.1057040996151865,1.1058823529411765,2030
Biological restoration,0.33529411764705885,90.14318324189995,59.99573253439803,0.9992887557330046,1.6280718897396231,0.3857765088248471,0.030224479086989983,10.50294117647059,2030
Direct/passive mineral carbonation,0.44705882352941173,184.93821574987265,184.93821574987265,0.8117276968734082,1.0,0.0,0.08267826115876659,0.6905882352941176,2030
DACCS,1.397058823529412,434.41241614154376,434.41241614154376,0.6550258669615495,1.0,0.0,0.6068996990212744,2.8441176470588236,2031
Enhanced silicate weathering,0.5588235294117647,198.0393065314255,188.61090825437395,0.8372986893481994,1.1346914039578793,0.24482185737095855,0.11066902423814955,1.1376470588235295,2031
Ocean alkalinity / carbonate weathering,0.27941176470588236,217.691658665825,217.691658665825,0.7415332693265999,1.0,0.0,0.06082561050956876,0.5688235294117647,2031
Biochar,0.41911764705882354,160.29214811107556,158.73288235381247,0.9736017157044264,1.0194908219657886,0.029260762967240055,0.06718126795831843,1.8382352941176472,2031
BiCRS / BECCS / durable biomass storage,0.8382352941176471,156.2972713300302,151.27123463822815,0.8441291899683598,1.0628254586475259,0.07802870124597346,0.13101388920311358,1.7764705882352942,2031
Biological restoration,0.41911764705882354,90.19973020050783,59.993001219732406,0.9988335366220676,1.6293068537661546,0.38624207116756865,0.037804298686977544,10.838235294117649,2031
Direct/passive mineral carbonation,0.5588235294117647,183.05693898932134,183.05693898932134,0.7882117373665167,1.0,0.0,0.10229652472932664,1.1376470588235295,2031
DACCS,1.6764705882352942,421.53007238630767,421.53007238630767,0.6281876508048078,1.0,0.0,0.7066827684123393,4.241176470588235,2032
Enhanced silicate weathering,0.6705882352941177,199.598470799873,187.59072902810215,0.8227247004014592,1.1715391681681553,0.29659235804148254,0.13384838630109133,1.6964705882352942,2032
Ocean alkalinity / carbonate weathering,0.33529411764705885,214.99091810539124,214.99091810539124,0.71992734484313,1.0,0.0,0.07208519018827825,0.8482352941176471,2032
Biochar,0.5029411764705883,159.87398085014433,158.31299776571626,0.9648541201190889,1.0195122885553507,0.029292208383877767,0.08040720801580789,2.2573529411764706,2032
BiCRS / BECCS / durable biomass storage,1.0058823529411767,155.23915562252702,150.2073185507178,0.8251306884056749,1.0628979633976152,0.07811255569034069,0.15615232712618896,2.614705882352941,2032
Biological restoration,0.5029411764705883,90.24936052928749,59.98970517956949,0.9982841965949153,1.630409486452458,0.3866571506671864,0.045390119560318125,11.257352941176473,2032
