year,co2_ppm,co2_forcing_w_m2,non_co2_forcing_w_m2,total_forcing_w_m2,surface_warming_c,deep_ocean_warming_c,earth_energy_imbalance_w_m2,ocean_heat_uptake_w_m2
2026,431.1838326549736,2.3492395292212933,0.6,2.9492395292212934,1.4357044703513868,0.3296831452075001,1.1732730993966278,1.0334663262144477
2027,433.4167646590838,2.3768859794912145,0.6184210526315789,2.9953070321227933,1.4583805011280322,0.33735083861251486,1.1912903522274172,1.0474901166544994
2028,435.376831088186,2.40103688176584,0.6368421052631579,3.0378789870289977,1.4811217533352559,0.34512177472483957,1.2057313781532861,1.061478380013573
2029,437.0069362934572,2.421039507449791,0.6552631578947368,3.076302665344528,1.503425904112502,0.35299402428510285,1.2165648219573628,1.0749635485107216
2030,438.24836726714136,2.436222821018811,0.6736842105263158,3.1099070315451267,1.524840503310682,0.3609623886681115,1.223679328949813,1.087527710322018
2031,439.0767351701545,2.4463302635416317,0.6921052631578947,3.1384355266995265,1.5449993033653666,0.3690188853362242,1.2272713884365678,1.0988361026064306
2032,439.469135638733,2.451111536617461,0.7105263157894737,3.161637852406935,1.5636003093537887,0.37715328579756974,1.2274642697362983,1.108616098810931
2033,439.4316364582246,2.450654805737681,0.7289473684210526,3.1796021741587337,1.5804293829904446,0.38535365048269066,1.2246110273995536,1.1166787644552454
2034,438.9873402152057,2.4452404172606292,0.7473684210526316,3.192608838313261,1.5953602531780582,0.39360694362533477,1.2191482051320028,1.122918292446065
2035,438.18755634523404,2.4354800758046133,0.7657894736842105,3.2012695494888237,1.6083712637389214,0.4018996995804314,1.211714296243778,1.127327029549693
2036,437.0040219868614,2.4210038133194125,0.7842105263157895,3.205214339635202,1.6194005645415848,0.4102182629905602,1.2020158412972615,1.1298599425692775
2037,435.44643424040987,2.4018924946789593,0.8026315789473684,3.2045240736263274,1.6284105327713594,0.41854872812194877,1.1901802445881557,1.1304948702644095
2038,433.55724683796643,2.3786205565706293,0.8210526315789473,3.1996731881495766,1.6354285963629402,0.426877242472077,1.1766480144486193,1.1292703850756227
2039,431.39513799040424,2.351861875564069,0.8394736842105263,3.191335559774595,1.6405542342356634,0.4351904761994737,1.1619699720250796,1.1262918955090155
2040,429.0232984245607,2.322352831139498,0.8578947368421053,3.1802475679816036,1.6439478077735596,0.4434760760447723,1.1466841297657102,1.121720786127379
2041,426.5001256700683,2.2907813624937923,0.8763157894736842,3.1670971519674764,1.645809054428125,0.45172300513545155,1.1312313516398858,1.1157540044590741
2042,423.87000917068167,2.2576723051887084,0.894736842105263,3.1524091472939713,1.6463474701405212,0.4599217058873781,1.1158773267301463,1.1085962341181368
2043,421.1743498434281,2.223524293903498,0.9131578947368421,3.1366821886403398,1.6457768013365157,0.46806413854556495,1.1008562853870698,1.1004547121118642
2044,418.53483413532916,2.1898750567962004,0.9315789473684211,3.1214540041646215,1.6444385778153996,0.4761442102064333,1.087283483406972,1.0916542570938181
2045,415.97609705596176,2.1570524221915837,0.95,3.1070524221915834,1.6426242133656805,0.48415804781443883,1.0751262702582363,1.0824707850910804
2046,413.49482286806136,2.125030062422258,0.94,3.0650300624222577,1.637141439129962,0.4920922357179463,1.0398861022184946,1.0699339756681874
2047,411.0820204136583,2.093706560079452,0.9299999999999999,3.023706560079452,1.629017874129326,0.49992555136002964,1.0086114497814758,1.0550238663956306
2048,408.73815322157986,2.0631014443079816,0.9199999999999999,2.9831014443079815,1.6190142068736149,0.5076430855525208,0.9803808704053196,1.0384651757624304
2049,406.45889047108193,2.033171123429574,0.9099999999999999,2.9431711234295737,1.607686668296923,0.515234574246636,0.9544627147462796,1.0207872366805884
2050,404.2378627939272,2.003843621801045,0.8999999999999999,2.903843621801045,1.595437253514532,0.5226931299192273,0.9302877392035687,1.002372109087453
2051,402.06867133394496,1.9750446356676126,0.8899999999999999,2.8650446356676125,1.5825538791132414,0.530014292994394,0.9074254872045326,0.9834929892694512
2052,399.94840724818096,1.9467446773023298,0.8799999999999999,2.8267446773023295,1.5692456517639835,0.5371953492043455,0.8855878060702818,0.9643478027117257
2053,397.873002405836,1.9188977960365892,0.87,2.788897796036589,1.5556615601205548,0.5442348386881749,0.8645444461674627,0.9450771285064157
2054,395.83907466946044,1.8914661464100713,0.86,2.7514661464100714,1.5419072000196123,0.5511321902411285,0.8441269399858107,0.9257801691370153
2055,393.84378990474016,1.8644183716879335,0.85,2.7144183716879335,1.5280569212321602,0.5578874576808353,0.8242119601237512,0.906526346742358
2056,391.8847524848656,1.8377283119313386,0.84,2.6777283119313386,1.5141626351899478,0.5645011303165555,0.8047091322013731,0.8873637101536977
2057,389.9599183849255,1.8113739718854007,0.83,2.641373971885401,1.5002601903167114,0.5709739971027241,0.7855521164636285,0.8683250189391497
2058,388.0675261858502,1.785336696709025,0.82,2.605336696709025,1.4863739776125258,0.57730704961158,0.7666920864023306,0.8494321375240838
2059,386.2060422777257,1.759600513868619,0.8099999999999999,2.569600513868619,1.4725202503799797,0.5835014130168527,0.7480929641485841,0.8306992016321059
2060,384.37411732143426,1.7341516078088999,0.7999999999999999,2.5341516078088997,1.4587095110961028,0.58955829724169,0.7297279425830203,0.8121348942255634
2061,382.5705516372544,1.7089779006779309,0.7899999999999999,2.498977900677931,1.444948222672323,0.5954789625830669,0.7115769492322672,0.7937440766274009
2062,380.7942676723256,1.6840687177316185,0.78,2.4640687177316183,1.4312400313366083,0.6012646956973248,0.6936247989682338,0.7755289536213466
2063,379.04428808197105,1.6594145203303006,0.77,2.4294145203303006,1.417586637235955,0.6069167929751912,0.6758598500694242,0.7574899024772576
2064,377.3197182635303,1.635006692873596,0.76,2.3950066928735962,1.4039884115417232,0.6124365491653695,0.6582730277964846,0.7396260602044649
2065,375.61973242206284,1.610837372767624,0.75,2.360837372767624,1.3904448316384797,0.6178252497082369,0.6408571160308245,0.7219357373556189
2066,373.9435624380885,1.5868993147163557,0.74,2.3268993147163557,1.3769547861706926,0.6230841656773483,0.6236062442232089,0.7044167077889809
2067,372.29048895877776,1.5631857823856348,0.73,2.2931857823856348,1.3635167873187024,0.6282145505415859,0.6065155164723997,0.6870664100445376
