year,gross_emissions_gtco2,energy_related_co2_gtco2,transition_investment_usd_tn,cumulative_transition_capital_usd_tn,weighted_dirty_stock_fraction
2026,42.2,38.400000000000006,0.0,0.0,0.9999999999999998
2027,41.328315460090884,37.66916404032612,2.5,2.5,0.965398906095015
2028,39.940148469724576,36.44939253514716,3.0,5.5,0.9193648517349016
2029,37.979914217559205,34.69008269749404,3.5,9.0,0.8610925009400983
2030,35.419171111179274,32.36296084134085,4.0,13.0,0.7904643814536533
2031,32.51969680558596,29.710308667516497,4.16,17.16,0.7139540272203908
2032,29.296982500786772,26.748298800239308,4.32,21.48,0.6321675727687444
2033,25.987790292639133,23.71095741148705,4.4799999999999995,25.96,0.5503377639366566
2034,22.746153876516782,20.7103620552286,4.64,30.6,0.47182938854406997
2035,19.822068748208853,18.0,4.8,35.4,0.4019974496707133
2036,16.608091796167518,15.020944390019915,4.746666666666666,40.14666666666666,0.3276613250863436
2037,13.400109522775944,12.053916410673729,4.693333333333333,44.839999999999996,0.2552732520534591
2038,10.471937239283855,9.358793153281953,4.64,49.48,0.19052329286863087
2039,7.979047459482819,7.079711413726771,4.586666666666667,54.06666666666666,0.13632641074230561
2040,5.987496341121337,5.274860186662809,4.533333333333333,58.599999999999994,0.09364498191602323
2041,4.48703632384297,3.929866577483501,4.4799999999999995,63.07999999999999,0.061872544352358005
2042,3.3875365951285916,2.95393550797724,4.426666666666667,67.50666666666666,0.03887912168274779
2043,2.6782371135922576,2.3384075948259535,4.373333333333333,71.88,0.02409675452028097
2044,2.1223618171202574,1.8504552167849977,4.32,76.19999999999999,0.012842013482039422
2045,1.8814101560330425,1.6564344493584084,4.266666666666667,80.46666666666665,0.007766496216466933
2046,1.7260186299608262,1.531943281035458,4.213333333333333,84.67999999999999,0.004535254510636074
2047,1.5935674344730861,1.4188544899477238,4.16,88.83999999999999,0.0018692576258686911
2048,1.543095517731955,1.393095517731955,4.1066666666666665,92.94666666666666,0.0007727419968799468
2049,1.5260166021134471,1.3760166021134472,4.053333333333334,96.99999999999999,0.00045727954294687984
2050,1.5151287141088141,1.3651287141088142,4.0,100.99999999999999,0.00026066350710900486
2051,1.5,1.35,3.98,104.97999999999999,0.0
2052,1.5,1.35,3.96,108.93999999999998,0.0
2053,1.5,1.35,3.94,112.87999999999998,0.0
2054,1.5,1.35,3.92,116.79999999999998,0.0
2055,1.5,1.35,3.9,120.69999999999999,0.0
2056,1.5,1.35,3.88,124.57999999999998,0.0
2057,1.5,1.35,3.86,128.44,0.0
2058,1.5,1.35,3.84,132.28,0.0
2059,1.5,1.35,3.82,136.1,0.0
2060,1.5,1.35,3.8,139.9,0.0
2061,1.5,1.35,3.78,143.68,0.0
2062,1.5,1.35,3.76,147.44,0.0
2063,1.5,1.35,3.74,151.18,0.0
2064,1.5,1.35,3.7199999999999998,154.9,0.0
2065,1.5,1.35,3.7,158.6,0.0
2066,1.5,1.35,3.68,162.28,0.0
2067,1.5,1.35,3.66,165.94,0.0
2068,1.5,1.35,3.64,169.57999999999998,0.0
2069,1.5,1.35,3.62,173.2,0.0
2070,1.5,1.35,3.6,176.79999999999998,0.0
2071,1.5,1.35,3.58,180.38,0.0
2072,1.5,1.35,3.56,183.94,0.0
2073,1.5,1.35,3.54,187.48,0.0
2074,1.5,1.35,3.52,191.0,0.0
2075,1.5,1.35,3.5,194.5,0.0
2076,1.5,1.35,3.48,197.98,0.0
2077,1.5,1.35,3.46,201.44,0.0
2078,1.5,1.35,3.44,204.88,0.0
2079,1.5,1.35,3.42,208.29999999999998,0.0
2080,1.5,1.35,3.4,211.7,0.0
2081,1.5,1.35,3.38,215.07999999999998,0.0
2082,1.5,1.35,3.36,218.44,0.0
2083,1.5,1.35,3.34,221.78,0.0
2084,1.5,1.35,3.32,225.1,0.0
2085,1.5,1.35,3.3,228.4,0.0
2086,1.5,1.35,3.2800000000000002,231.68,0.0
2087,1.5,1.35,3.26,234.94,0.0
2088,1.5,1.35,3.24,238.18,0.0
2089,1.5,1.35,3.2199999999999998,241.4,0.0
2090,1.5,1.35,3.2,244.6,0.0
2091,1.5,1.35,3.18,247.78,0.0
2092,1.5,1.35,3.16,250.94,0.0
2093,1.5,1.35,3.14,254.07999999999998,0.0
2094,1.5,1.35,3.12,257.2,0.0
2095,1.5,1.35,3.1,260.3,0.0
2096,1.5,1.35,3.08,263.38,0.0
2097,1.5,1.35,3.06,266.44,0.0
2098,1.5,1.35,3.04,269.48,0.0
2099,1.5,1.35,3.02,272.5,0.0
2100,1.5,1.35,3.0,275.5,0.0
