year,planned_cdr_gtco2,feasible_cdr_gtco2,dynamic_blended_cost_usd_t,dynamic_cdr_spend_usd_tn,learning_only_no_scarcity_spend_usd_tn,flat_185_counterfactual_usd_tn,gdp_screen_usd_tn,settlement_cap_usd_tn,dynamic_spend_fraction_gdp,within_cap
2026,0.0,0.0,0.0,0.0,0.0,0.0,126.3,2.70282,0.0,True
2027,0.8941176470588235,0.8941176470588236,307.82974691540903,0.2752360090067187,0.2715882352941177,0.16541176470588237,133.12497358422928,2.8488744347025063,0.00206750094739042,True
2028,1.788235294117647,1.7882352941176471,277.8094905699571,0.49678873607804097,0.48910005860430195,0.33082352941176474,140.31875369597583,3.0028213290938828,0.003540430077895484,True
2029,2.682352941176471,2.682352941176471,264.08078022979964,0.7083578575575803,0.6961795253224409,0.4962352941176471,147.9012698269894,3.165087174297573,0.004789396726520311,True
2030,3.576470588235294,3.5764705882352943,255.6693682660394,0.9143939759161881,0.8972086217847781,0.6616470588235295,155.8935284148213,3.336121508077176,0.005865503111091645,True
2031,4.470588235294118,4.470588235294118,249.78599136703144,1.1166903143467288,1.0938948132291586,0.8270588235294117,164.31767103860162,3.5163981602260743,0.006795923452958356,True
2032,5.364705882352942,5.364705882352942,245.37008529019528,1.3163383399097537,1.2872207441016315,0.9924705882352942,173.19703575958766,3.706416565255176,0.00760023596325831,True
2033,6.258823529411764,6.258823529411765,241.91734306646939,1.5141179589571967,1.4778257496650886,1.1578823529411764,182.55622177642059,3.9067031460154005,0.008293981679855098,True
2034,7.152941176470588,7.152941176470589,239.15505140802586,1.7106620147774085,1.6661572307181325,1.323294117647059,192.4211575742098,4.117812772088089,0.008890197088216086,True
2035,8.047058823529412,8.047058823529412,236.92514217010816,1.906550555815929,1.8525443744440648,1.4887058823529413,202.8191727562431,4.340330296983602,0.00940024816148572,True
2036,8.941176470588236,8.941176470588236,235.20889486319163,2.103044236423831,2.0372385905326573,1.6541176470588235,213.77907375732462,4.574872178406746,0.009837465377042196,True
2037,9.83529411764706,9.83529411764706,233.93592028468447,2.3008285806823086,2.220437556768114,1.819529411764706,225.33122364849442,4.822088186077781,0.01021087332429121,True
2038,10.729411764705883,10.729411764705883,233.04506718500815,2.5004364855614996,2.4023003903913933,1.9849411764705884,237.50762625421922,5.082663201840291,0.010527815569530918,True
2039,11.623529411764704,11.623529411764704,232.5666344182703,2.703245115355894,2.582957670005149,2.1503529411764704,250.34201481509055,5.3573191170429375,0.0107982078731474,True
2040,12.517647058823528,12.51764705882353,232.5952372557807,2.911545087531184,2.7625183058172764,2.3157647058823527,263.8699454416601,5.646816832451526,0.011034015574065852,True
2041,13.411764705882351,13.411764705882353,233.35718915682529,3.1297317133974216,2.941074396669324,2.481176470588235,278.1288956183137,5.9519583662319135,0.011252810343346938,True
2042,14.305882352941175,14.305882352941177,235.43602146724425,3.3681200247549294,3.1187047546796953,2.646588235294118,293.15836803007824,6.273589075843674,0.011489080278988857,True
2043,15.2,15.2,240.87376490128614,3.661281226499549,3.295477521183913,2.8120000000000007,308.99999999999943,6.612599999999987,0.01184880655825099,True
2044,15.2,15.2,240.79203870790175,3.6600389883601063,3.27859369405877,2.8120000000000007,309.0,6.6126,0.011844786370097431,True
2045,15.2,15.2,241.07708640413526,3.664371713342856,3.2636474525804484,2.8120000000000007,309.0,6.6126,0.01185880813379565,True
2046,15.2,15.2,241.75400987290206,3.674660950068111,3.2502535523237337,2.8120000000000007,309.0,6.6126,0.011892106634524632,True
2047,15.2,15.2,242.8857624158134,3.6918635887203632,3.238130150916607,2.8120000000000007,309.0,6.6126,0.01194777860427302,True
2048,15.2,15.2,244.5907042385258,3.717778704425592,3.2270650019840263,2.8120000000000007,309.0,6.6126,0.012031646292639456,True
2049,15.2,15.2,247.08303315399928,3.755662103940789,3.2168943889894743,2.8120000000000007,309.0,6.6126,0.012154246291070514,True
2050,15.2,15.2,250.7694131557406,3.811695079967257,3.2074894492691786,2.8120000000000007,309.0,6.6126,0.012335582783065556,True
