year,cdr_spend_usd_tn,gdp_usd_tn,case,required_fee_fraction,retained_share,collection_usd_tn,shortfall_usd_tn,funding_fraction,pass,best_fee_fraction,max_fee_fraction,turnover_multiple_of_gdp,exempt_transaction_share,fee_semi_elasticity
2026,0.0,126.3,Central collection,0.0,0.9,0.0,0.0,1.0,True,,,,,
2027,0.2752360090067187,133.12497358422928,Central collection,0.0003858364832626845,0.8930816710692907,0.2752360090067187,0.0,1.0,True,0.0003858364832626845,0.03,8.0,0.25,20.0
2028,0.49678873607804097,140.31875369597583,Central collection,0.0006644054934405459,0.8881198085729702,0.496788736078041,0.0,1.0,True,0.0006644054934405459,0.03,8.0,0.25,20.0
2029,0.7083578575575803,147.9012698269894,Central collection,0.0009030903387440387,0.8838902970255637,0.7083578575575803,0.0,1.0,True,0.0009030903387440387,0.03,8.0,0.25,20.0
2030,0.9143939759161881,155.8935284148213,Central collection,0.001110601018808556,0.8802295651568479,0.9143939759161882,0.0,1.0,True,0.001110601018808556,0.03,8.0,0.25,20.0
2031,1.1166903143467288,164.31767103860162,Central collection,0.0012914332546434368,0.8770518373705012,1.1166903143467288,0.0,1.0,True,0.0012914332546434368,0.03,8.0,0.25,20.0
2032,1.3163383399097537,173.19703575958766,Central collection,0.0014488309054938153,0.8742952604566677,1.3163383399097537,0.0,1.0,True,0.0014488309054938153,0.03,8.0,0.25,20.0
2033,1.5141179589571967,182.55622177642059,Central collection,0.001585404024507536,0.8719104143848974,1.5141179589571967,0.0,1.0,True,0.001585404024507536,0.03,8.0,0.25,20.0
2034,1.7106620147774085,192.4211575742098,Central collection,0.0017033859127584478,0.86985544708611,1.7106620147774085,0.0,1.0,True,0.0017033859127584478,0.03,8.0,0.25,20.0
2035,1.906550555815929,202.8191727562431,Central collection,0.001804768831038304,0.8680934643651521,1.906550555815929,0.0,1.0,True,0.001804768831038304,0.03,8.0,0.25,20.0
2036,2.103044236423831,213.77907375732462,Central collection,0.0018920091832510325,0.8665801293961405,2.103044236423831,0.0,1.0,True,0.0018920091832510325,0.03,8.0,0.25,20.0
2037,2.3008285806823086,225.33122364849442,Central collection,0.0019667638742419933,0.8652854788534765,2.3008285806823086,0.0,1.0,True,0.0019667638742419933,0.03,8.0,0.25,20.0
2038,2.5004364855614996,237.50762625421922,Central collection,0.002030393830432449,0.8641850176827208,2.5004364855614996,0.0,1.0,True,0.002030393830432449,0.03,8.0,0.25,20.0
2039,2.703245115355894,250.34201481509055,Central collection,0.002084809358480553,0.8632450275947,2.7032451153558945,0.0,1.0,True,0.002084809358480553,0.03,8.0,0.25,20.0
2040,2.911545087531184,263.8699454416601,Central collection,0.002132363842531753,0.8624243944664697,2.911545087531184,0.0,1.0,True,0.002132363842531753,0.03,8.0,0.25,20.0
2041,3.1297317133974216,278.1288956183137,Central collection,0.00217657024795333,0.8616622377896423,3.1297317133974216,0.0,1.0,True,0.00217657024795333,0.03,8.0,0.25,20.0
2042,3.3681200247549294,293.15836803007824,Central collection,0.002224397377339189,0.860838415236462,3.3681200247549294,0.0,1.0,True,0.002224397377339189,0.03,8.0,0.25,20.0
2043,3.661281226499549,308.99999999999943,Central collection,0.0022973955398865567,0.8595825397742983,3.661281226499549,0.0,1.0,True,0.0022973955398865567,0.03,8.0,0.25,20.0
2044,3.6600389883601063,309.0,Central collection,0.0022965785283490226,0.8595965856661038,3.6600389883601063,0.0,1.0,True,0.0022965785283490226,0.03,8.0,0.25,20.0
2045,3.664371713342856,309.0,Central collection,0.0022994282506092313,0.8595475948317203,3.664371713342856,0.0,1.0,True,0.0022994282506092313,0.03,8.0,0.25,20.0
2046,3.674660950068111,309.0,Central collection,0.002306197026413974,0.859431241008369,3.6746609500681116,0.0,1.0,True,0.002306197026413974,0.03,8.0,0.25,20.0
2047,3.6918635887203632,309.0,Central collection,0.0023175179787449478,0.8592366714341049,3.6918635887203632,0.0,1.0,True,0.0023175179787449478,0.03,8.0,0.25,20.0
2048,3.717778704425592,309.0,Central collection,0.002334582479690579,0.8589434725700296,3.717778704425592,0.0,1.0,True,0.002334582479690579,0.03,8.0,0.25,20.0
2049,3.755662103940789,309.0,Central collection,0.002359549309690201,0.858514677722241,3.755662103940789,0.0,1.0,True,0.002359549309690201,0.03,8.0,0.25,20.0
2050,3.811695079967257,309.0,Central collection,0.0023965244214235403,0.8578800388869113,3.811695079967257,0.0,1.0,True,0.0023965244214235403,0.03,8.0,0.25,20.0
