emissions_through_year,fair_timebound_after_flux,cumulative_net_removal_gtco2,fair_p50_cumulative_drawdown_ppm,atmospheric_mass_decrease_equivalent_gtco2,cumulative_apparent_atmospheric_response_fraction
2039,2040,3.2200697603961377,1.7233852707937558,13.390703554067482,4.158513495192147
2040,2041,9.301108310605573,3.5610180994659686,27.669110632850575,2.9748186677173645
2041,2042,17.756132613445157,5.556241476151968,43.171996269700784,2.4313850999857047
2042,2043,28.188686829968916,7.648910191685559,59.432032189396786,2.10836469779115
2043,2044,40.21354617537554,9.7982027626731,76.13203546596998,1.8931937793784734
2044,2045,52.787143857105676,11.865432633752732,92.19441156425873,1.7465315383197881
2045,2046,65.59782073410068,13.837777080187095,107.51952791305372,1.6390716446035876
2046,2047,78.56007981538718,15.708681760282786,122.05645727739724,1.5536702300229923
2047,2048,91.65104266203922,17.588787527073805,136.66487908536345,1.491143746059841
2048,2049,104.78880495763283,19.366756671250982,150.47969933562013,1.4360283944116032
2049,2050,117.94004800147792,21.09645979233585,163.91949258644954,1.3898543824943623
2050,2051,131.09864651625324,22.778500440760922,176.98894842471236,1.3500440555865676
2051,2052,144.26889407711175,24.41285624109122,189.68789299327875,1.3148218415806983
2052,2053,157.43571001552772,25.984251694332613,201.89763566496438,1.2824132189898432
2053,2054,170.59913333202857,27.549244575811258,214.05763035405346,1.2547404325756086
2054,2055,183.75919556789597,29.077774605585603,225.9343086854001,1.2295129394050983
2055,2056,196.91592221646232,30.575460255726398,237.5713261869941,1.2064607245210004
2056,2057,210.0693339421273,32.02910214083835,248.86612363431394,1.184685641469568
2057,2058,223.21944761112846,33.43019343666509,259.7526030028878,1.1636647513589582
2058,2059,236.36627714951757,34.80625902956666,270.4446326597329,1.1441760471129243
2059,2060,249.50983424881926,36.135816448078,280.7752938015661,1.1253075240375812
2060,2061,262.6501289410859,37.43963971338991,290.9060005730396,1.1075798886749897
2061,2062,275.78717006417827,38.71714508714467,300.8322173271141,1.0908129528183186
2062,2063,288.9209656361435,39.98225241375536,310.66210125487913,1.075249421830175
2063,2064,302.051523155166,41.22479863107225,320.31668536343136,1.060470352930094
2064,2065,315.1788498391137,42.44957546286673,329.8332013464745,1.0464953518132363
2065,2066,328.30295281638547,43.64390474075333,339.1131398356533,1.0329274742323558
2066,2067,341.4238392776989,44.84083587045609,348.4132947134438,1.0204714921211462
2067,2068,354.54151659666286,46.006726284576644,357.4722632311605,1.0082663002703622
2068,2069,367.6559924254675,47.176571816248554,366.5619630122512,0.9970243123034692
2069,2070,380.76727477076605,48.32751404710393,375.5047841459975,0.986179246554377
2070,2071,393.8753720537956,49.433731305137485,384.10009224091823,0.9751817947847161
2071,2072,406.9802931579495,50.54701348698694,392.7502947938885,0.9650351660675168
2072,2073,420.082047466346,51.62084118404994,401.09393600006797,0.9547990408521344
2073,2074,433.18064489140374,52.71652399957327,409.60739147668426,0.9455810094640097
2074,2075,446.27609589801256,53.76547140525497,417.7577128188311,0.9360969961391373
2075,2076,459.36841152155347,54.83889194220376,426.0981903909232,0.927573990078181
2076,2077,472.4576033817595,55.885717853765925,434.23202772376123,0.9190920510446079
2077,2078,485.5436836932028,56.910357913198595,442.19348098555304,0.9107182233781437
2078,2079,498.6266652730325,57.92603573610569,450.0852976695412,0.9026498761815887
2079,2080,511.70656154645974,58.924275121806375,457.8416176964355,0.894734701686772
2080,2081,524.7833865503895,59.926375767516504,465.6279397136032,0.887276449001866
2081,2082,537.8571549355191,60.92350577604287,473.3756398798531,0.8801140517255063
2082,2083,550.9278819671628,61.90035636517189,480.96576895738554,0.8730103970051978
2083,2084,563.995583525015,62.88710914302635,488.6328380413147,0.8663770644928148
2084,2085,577.0602761020251,63.846057481963726,496.0838666348581,0.8596742613888566
2085,2086,590.1219768025259,64.80171044323566,503.5092901439411,0.8532291796216764
2086,2087,603.1807034413653,65.7529195007786,510.9001845210497,0.847010160647014
2087,2088,616.2364745197265,66.70863604325933,518.326102056125,0.8411155838512976
2088,2089,629.289309205596,67.64101162663786,525.5706603389762,0.8351812952335825
2089,2090,642.3392273177182,68.56547473575915,532.7537386968486,0.8293962380618152
2090,2091,655.386249312158,69.4895970657621,539.9341692009715,0.82384116201346
2091,2092,668.4303962708162,70.41666807306495,547.1375109277146,0.8185407395896468
2092,2093,681.4716898913993,71.33521946836879,554.2746552692255,0.8133494956445746
2093,2094,694.5101524784783,72.24361333594709,561.3328756203089,0.8082428653016756
2094,2095,707.5458069353596,73.12459512192214,568.178104097335,0.8030266005791523
2095,2096,720.5786767565623,74.0254521986563,575.1777635835593,0.7982164642624795
2096,2097,733.6087860207539,74.90849382342361,582.0389970080014,0.7933915297894694
2097,2098,746.6361593840288,75.79569266836359,588.932532033185,0.7887811548251982
2098,2099,759.6608220734528,76.67401743633934,595.7571154803567,0.7842409377572876
2099,2100,772.6827998808104,77.54304972353765,602.5094963518875,0.7797630495266973
2100,2101,785.7021191565154,78.38925743988631,609.0845303079166,0.7752104970288163
