window_start_emissions_year,window_end_emissions_year,fair_start_timebound,fair_end_timebound,window_net_removal_gtco2,window_fair_p50_drawdown_ppm,rolling_20y_apparent_atmospheric_response_fraction
2039,2058,2039,2059,236.36627714951757,34.80625902956666,1.1441760471129243
2040,2059,2040,2060,246.28976448842312,34.41243117728425,1.0856504361961297
2041,2060,2041,2061,253.34902063048028,33.87862161392394,1.0390286462726475
2042,2061,2042,2062,258.0310374507331,33.160903610992705,0.998562900041083
2043,2062,2043,2063,260.7322788061745,32.3333422220698,0.9635556833077963
2044,2063,2044,2064,261.8379769797904,31.426595868399147,0.9325791954018511
2045,2064,2045,2065,262.391705982008,30.584142829114,0.9056642582998051
2046,2065,2046,2066,262.70513208228476,29.806127660566233,0.8815724690527159
2047,2066,2047,2067,262.86375946231163,29.132154110173303,0.8611184664598115
2048,2067,2048,2068,262.89047393462357,28.41793875750284,0.8399215872717705
2049,2068,2049,2069,262.8671874678346,27.80981514499757,0.8220206780394445
2050,2069,2050,2070,262.8272267692881,27.231054254768083,0.8050356660547932
2051,2070,2051,2071,262.77672553754223,26.655230864376563,0.7881639570343776
2052,2071,2052,2072,262.7113990808376,26.13415724589572,0.772948575931897
2053,2072,2053,2073,262.6463374508182,25.636589489717323,0.7584202478072022
2054,2073,2054,2074,262.58151155937503,25.16727942376201,0.7447202202521142
2055,2074,2055,2075,262.51690033011647,24.687696799669368,0.7307087806240741
2056,2075,2056,2076,262.45248930509104,24.26343168647736,0.718327590273963
2057,2076,2057,2077,262.38826943963204,23.856615712927578,0.706456521418899
2058,2077,2058,2078,262.3242360820742,23.480164476533503,0.6954785448249031
2059,2078,2059,2079,262.2603881235148,23.119776706539028,0.6849706366071731
2060,2079,2060,2080,262.1967272976404,22.78845867372837,0.6753185889077378
2061,2080,2061,2081,262.13325760930366,22.486736054126595,0.6665386175491621
2062,2081,2062,2082,262.06998487134086,22.2063606888982,0.6583868146420754
2063,2082,2063,2083,262.00691633101934,21.918103951416526,0.6499968401114453
2064,2083,2064,2084,261.9440603698491,21.662310511954104,0.6425652577891293
2065,2084,2065,2085,261.8814262629116,21.396482019096993,0.6348318308052858
2066,2085,2066,2086,261.8190239861406,21.157805702482335,0.6278999432714638
2067,2086,2067,2087,261.75686416366665,20.912083630322513,0.6207550290104675
2068,2087,2068,2088,261.69495792306384,20.70190975868269,0.6146615895910924
2069,2088,2069,2089,261.6333167801287,20.464439810389308,0.6077540096330797
2070,2089,2070,2090,261.5719525469523,20.23796068865522,0.601169020683228
2071,2090,2071,2091,261.5108772583626,20.055865760624613,0.5958990256688069
2072,2091,2072,2092,261.4501031128669,19.869654586078013,0.5905035580237574
2073,2092,2073,2093,261.3896424250534,19.714378284318855,0.5860244417032631
2074,2093,2074,2094,261.3295075870747,19.52708933637382,0.5805907091952477
2075,2094,2075,2095,261.2697110373471,19.35912371666717,0.5757283945439895
2076,2095,2076,2096,261.210265235009,19.186560256452537,0.5707263191150256
2077,2096,2077,2097,261.15118263899444,19.022775969657687,0.5659823853394644
2078,2097,2078,2098,261.09247569082606,18.88533475516499,0.5620194555947056
2079,2098,2079,2099,261.0341568004203,18.74798170023365,0.5580565378736708
2080,2099,2080,2100,260.9762383343506,18.618774601731275,0.5543335269861245
2081,2100,2081,2101,260.91873260612573,18.462881672369804,0.549813304554375
2082,2101,2082,2102,260.86165010631976,18.327368881130326,0.5458972453342336
2083,2102,2083,2103,260.8050000205203,18.22448345725843,0.5429506200101857
2084,2103,2084,2104,260.74879061227614,18.085396826430156,0.5389230493126836
2085,2104,2085,2105,260.6930295050162,17.972990964702035,0.5356880468223171
2086,2105,2086,2106,260.6377238884646,17.865571117796435,0.5325993701690013
2087,2106,2087,2107,260.5828805670874,17.751305756384966,0.5293043250844007
2088,2107,2088,2108,260.52850608936467,17.631648368303843,0.5258461343755173
2089,2108,2089,2109,260.4746068407949,17.51766745092175,0.5225548768247317
2090,2109,2090,2110,260.4211891099433,17.428312111969603,0.5199960324765804
2091,2110,2091,2111,260.3682591345192,17.31444302271592,0.5167036209932032
2092,2111,2092,2112,260.3158231327134,17.211516188657583,0.5137355047283846
2093,2112,2093,2113,260.26388732371277,17.1022236217745,0.5105751662577304
2094,2113,2094,2114,260.21245794031756,17.01406009644029,0.5080434964403676
2095,2114,2095,2115,260.1615412358452,16.934223906590944,0.5057585342136749
2096,2115,2096,2116,260.111143486947,16.82956591347545,0.5027301998473063
2097,2116,2097,2117,260.06127099354586,16.74858266967516,0.5004070265680032
2098,2117,2098,2118,260.0119300767896,16.652125959866567,0.49761954641831707
2099,2118,2099,2119,259.96312707568086,16.559382646725112,0.49494097340811166
2100,2119,2100,2120,259.91486834286854,16.459921872547284,0.49205954920970757
2101,2120,2101,2121,259.86716023995444,16.39010613852298,0.4900624018007158
2102,2121,2102,2122,259.819857420513,16.295824656675734,0.4873321032481399
2103,2122,2103,2123,259.7728520190702,16.195372505372006,0.48441568619919745
2104,2123,2104,2124,259.7238901816331,16.114573738548074,0.4820897987511085
2105,2124,2105,2125,259.67267266147525,16.024926703090387,0.47950244131131864
2106,2125,2106,2126,259.61916779690785,15.94587927818634,0.47723549475526644
2107,2126,2107,2127,259.5633441163568,15.881940750546562,0.4754241399218063
2108,2127,2108,2128,259.5051702213197,15.788151694593466,0.47272252249297547
2109,2128,2109,2129,259.4446147011876,15.740505289597081,0.47140591544376914
2110,2129,2110,2130,259.38164607177737,15.639161280391647,0.46848450917385465
2111,2130,2111,2131,259.31623273146147,15.555092034716381,0.4660836841437061
2112,2131,2112,2132,259.24834293031734,15.468183354371149,0.4636009754390938
2113,2132,2113,2133,259.1779447488697,15.394143326028711,0.46150722338330724
2114,2133,2114,2134,259.10500608386417,15.295493259988746,0.458678836145859
2115,2134,2115,2135,259.02949463915905,15.20948074240141,0.4562324670134045
2116,2135,2116,2136,258.9513779203105,15.141390650254948,0.4543270103342954
2117,2136,2117,2137,258.87062323178816,15.060774732278276,0.4520490514098333
2118,2137,2118,2138,258.78719767603474,14.989697747594164,0.45006071608152226
2119,2138,2119,2139,258.7010681537859,14.898527154337955,0.44747227684576457
2120,2139,2120,2140,258.6122013652204,14.846218496873234,0.4460544286454483
2121,2140,2121,2141,258.52056381162527,14.756134152479774,0.4435049988840074
2122,2141,2122,2142,258.42627527121834,14.69559053697077,0.441846473824792
2123,2142,2123,2143,258.32941908265155,14.607520006812138,0.43936316218253196
2124,2143,2124,2144,258.2322252232079,14.535772099577798,0.43736969356204525
2125,2144,2125,2145,258.1349694238363,14.48253073460694,0.43593188500986146
2126,2145,2126,2146,258.0376599786248,14.387238337318479,0.4332268471595382
2127,2146,2127,2147,257.94030498410393,14.294985822304056,0.4306114154829256
2128,2147,2128,2148,257.84291234332346,14.241943228769742,0.42917564761367116
2129,2148,2129,2149,257.7454897698475,14.134868221399017,0.42610998228655966
2130,2149,2130,2150,257.6480447916692,14.084940793833141,0.4247654588513382
2131,2150,2131,2151,257.550584755048,14.016206220624895,0.42285255317060916
2132,2151,2132,2152,257.4531168282693,13.95599383632208,0.4211954139228959
2133,2152,2133,2153,257.3556480053292,13.866620590413902,0.41865660545085415
