year,atmospheric_pco2_ppm,oae_cdr_gtco2_yr,total_alkalinity_umol_kg,oae_alkalinity_anomaly_umol_kg,surface_ocean_ph,surface_ocean_ph_without_oae,oae_ph_increment
2026,427.29043508345666,0.0,2300.0,0.0,8.050712612498716,8.050712612498716,0.0
2027,429.4265027550957,0.055882352941176466,2300.041179249587,0.041179249587051686,8.04927627867035,8.049270863052302,5.415618048232318e-06
2028,431.3203319572366,0.11176470588235293,2300.12152941306,0.12152941306016582,8.048013931389711,8.047997943301253,1.5988088458485095e-05
2029,432.8958545861557,0.16764705882352943,2300.2391401024065,0.2391401024062862,8.04697422579323,8.04694275680823,3.1468985000060457e-05
2030,434.1120053930131,0.22352941176470587,2300.392194100335,0.3921941003351802,8.046182210643673,8.046130591185472,5.161945820120195e-05
2031,435.00288187561387,0.27941176470588236,2300.5789628162897,0.5789628162896673,8.045613144526213,8.045536933955576,7.621057063644798e-05
2032,435.48909077586245,0.33529411764705885,2300.7978019640686,0.797801964068843,8.045318414356604,8.04521339341572,0.00010502094088415959
2033,435.5917720565194,0.39117647058823524,2301.047147450256,1.0471474502561067,8.045282945467893,8.045145106821293,0.00013783864659977496
2034,435.37159459097313,0.44705882352941173,2301.325511463171,1.32551146317092,8.04546601174455,8.045291550028146,0.00017446171640322916
2035,434.84131113571755,0.5029411764705882,2301.631478752565,1.6314787525646388,8.045859216056009,8.045644520120474,0.00021469593553469224
2036,433.97352044172953,0.5588235294117647,2301.963703090758,1.9637030907577213,8.046481324746587,8.046222971425653,0.00025835332093393504
2037,432.8123173803052,0.6147058823529412,2302.3209039063695,2.3209039063693093,8.047303875279662,8.04699861888314,0.0003052563965209032
2038,431.3443428826747,0.6705882352941177,2302.7018630822217,2.7018630822217573,8.04833706906469,8.047981836550456,0.00035523251423441593
2039,429.62095761188095,0.726470588235294,2303.105421909413,3.1054219094131996,8.04954805224042,8.049139932031737,0.0004081202086823055
2040,427.78332478320874,0.7823529411764705,2303.5304781899417,3.53047818994175,8.050843140165345,8.050379365679033,0.00046377448631140794
2041,425.78810140652274,0.838235294117647,2303.9759834806364,3.9759834806363887,8.052252512709945,8.051730467848007,0.0005220448619382978
