case,year,additional_since_2026_m,rate_mm_yr
low,2050,0.07282953839709991,2.922390835092381
low,2100,0.19356775851743793,1.9399215980070994
low,2150,0.2695556453010626,1.064212767488748
low,2200,0.3099247042269728,0.7033593747669542
low,2300,0.3403269674861129,0.09232002445180854
low,2400,0.33589128366471843,-0.12256144701561222
central,2050,0.11108312215939434,4.5336492693635595
central,2100,0.30935305873030494,3.5038736971262363
central,2150,0.45291239967879404,2.2126524987191587
central,2200,0.5460835549296499,1.6320946332771813
central,2300,0.6585029682470661,0.7301467079227075
central,2400,0.7054083735601566,0.28075042299047226
high,2050,0.15862028502192907,6.71562744844767
high,2100,0.4758190948530222,6.042859587347849
high,2150,0.7441633098904346,4.387659687754786
high,2200,0.949620704425298,3.9384248705967018
high,2300,1.2615462214088549,2.4615938251282277
high,2400,1.4555565095639447,1.4748787276783748
